id,Abstract_cleaned
1899,"The human relationship with transportation is shaped by social, economic, demographic, and urban form variables, or socio-spatial factors. The spatial dynamics of these are key to generating and interpreting outputs of transportation models that are most relevant for a community and the diverse mobility needs of its members. Here we present a typology transfer framework, grounded in socio-spatial dynamics shaping people's mobility, to take transportation-themed regional mobility model outcomes, in this case from two agent-based models (ABMs), and extrapolate them to other cities, with less time and resource intensity than new ABM development. The typology transfer process first identifies micro-urban social types (MUSTs) using socio-spatial factors, then defines city types based on spatial patterns of MUSTs to assess across which cities transfer results are likely to best hold. Lastly, a typology transfer multiplier matrix extrapolates a given variable, in our case the Mobility Energy Productivity (MEP) metric, to another city. The full process demonstration uses ABM results from Chicago (POLARIS model) and San Francisco (BEAM model), applying them to New York City. We discuss how MEP or other outputs can be appropriately estimated and used for integrated, human-centered mobility analysis. Key findings include that this MUST framework of user-defined dependent and independent variables allows tailoring ABM results and interpretations to specific community needs and data availability. Findings clarify that positive outcomes can be targeted towards user groups, based on sociospatial characteristics, using a typology approach, such as inclusive access to mobility choices, transportation affordability, and greater efficiency in resource use."
8763,This paper examines the issues related to the competition between two currencies in an agent-based computational economic model. The economic environment is a two-country overlapping generations economy with no restrictions on foreign currency holdings. Governments of both countries finance their deficits via seignorage. Agents make decisions about their savings and portfolio decisions. They use the genetic algorithm to update their decision rules. The results presented in the paper show that the currency of the country that finances larger of the two deficits becomes valueless. The adjustment process is characterized by a flight away from the currency used to finance the larger of the two deficits. The economy converges to a stationary equilibrium that corresponds to a single-currency economy.
2121,"The pork tapeworm, Taenia solium, is the cause of a preventable zoonotic disease, cysticercosis, affecting both pigs and humans. Continued endemic transmission of T. solium is a major contributor of epilepsy and other neurologic morbidity, and the source of important economic losses, in many rural areas of developing countries. Simulation modelling can play an important role in aiding the design and evaluation of strategies to control or even eliminate transmission of the parasite. In this paper, we present a new agent based model of local-scale T. solium transmission and a new, non-local, approach to the model calibration to fit model outputs to observed human taeniasis and pig cysticercosis prevalence simultaneously for several endemic villages. The model fully describes all relevant aspects of T. solium transmission, including the processes of pig and human infection, the spatial distribution of human and pig populations, the production of pork for human consumption, and the movement of humans and pigs in and out in several endemic villages of the northwest of Peru. Despite the high level of uncertainty associated with the empirical measurements of epidemiological data associated with T. solium, the non-local calibrated model parametrization reproduces the observed prevalences with an acceptable precision. It does so not only for the villages used to calibrate the model, but also for villages not included in the calibration process. This important finding demonstrates that the model, including its calibrated parametrization, can be successfully transferred within an endemic region. This will enable future studies to inform the design and optimization of T. solium control interventions in villages where the calibration may be prevented by the limited amount of empirical data, expanding the possible applications to a wider range of settings compared to previous models."
7565,"This paper presents an agent-based approach for error detection in incident management organizations. The approach consists of several parts. First, a formal approach for the specification and hierarchical verification of both traces and properties. Incomplete traces are enriched by enrichment rules. Furthermore, a classification mechanism is presented for the different properties in incident management that is based on psychological literature. Classification of errors provides insight in the functioning of the agents involved with respect to their roles. This insight enables the provision of dedicated training sessions and allows software support to give appropriate warning messages during incident management."
1378,"Contention over COVID-19 is only a recent example of increasing social division around science in the U.S. Many blame these divisions on actors who have strategically sowed doubt and distrust around expert supported positions and policies. However, this overlooks how scientists have fueled narratives of social and political conflict around science. This study explores how science influencers on social media have used group identity language in ways that may perpetuate narratives of intergroup conflict around science. Using computer-assisted content analytic methods, we examine how science influencers’ use of group identity language has changed in response to recent events (Trump presidency, COVID-19 pandemic) and across different social media platforms (Twitter, Facebook, Instagram). While there are slight increases in group identity language between 2016 and 2021, different patterns across platforms suggest that science influencers use different platforms to perform multiple roles of engaging diverse audiences, building ingroup solidarity, and defending against outgroup criticism."
7044,"Significant transport costs and spatially distributed supply and processing create oligopsony power in agricultural markets. Price discrimination expressed in the form of partial or complete absorption of freight charges by processors is often observed in these environments, but we understand little about how these pricing decisions are made. Analytical approaches are often intractable. As an alternative, we propose a computational economics approach to analyze a general spatial competition model and study firms' choices of spatial pricing policy. Instead of the commonly presumed free-on-board pricing, we find that buyers choose price discrimination, either through uniform delivered pricing or through partial freight absorption."
3987,"In the field of European Studies once so popular new institutionalist approaches are struggling to compete with the theoretical innovations proposed by post-structuralist scholarships. These latter interpretations debate that 'grand narratives' are proper explanatory frameworks to understand different political, economic and social processes merged under the umbrella-notion of Europeanization, so they favor more agent-based conceptualizations. While New Institutionalism aims to reflect on this challenge through epistemological and methodological attempts, mostly by discursive manners, yet this paper - with respect to the achievements of new empirical set-ups and designs - argues that the ontological background should be addressed instead. For this goal the perspective of Critical Realism is crucial to note, and its suggestions about 1) multi-layered social reality, 2) meta-theory, and 3) interconnectedness of subjects and objects in social science are pillars to be considered. All of these potential contributions highlight that scholars need to be reflexive as they are existentially embedded into the deep structures and linkages of generative mechanisms that they are theorizing. The more stable the belief that certain ontological conceptualizations are grasping the observable facts and events in a reflective way, the less reflexive the given thinker to realize the need for out-of-the-box ideas and hypotheses."
7412,"In collaborative systems, a set of organizations shares their computing resources, such as compute cycles, storage space or on-line services, in order to establish Virtual Organizations (VOs) aimed at achieving common tasks. The formation and operation of Virtual Organizations involve establishing trust among their members and reputation is one measure by which such trust can be quantified and reasoned about. In this paper, we contribute to research in the area of trust for collaborative computing systems along two directions: first, we provide a survey on the main reputation-based systems that fulfil the trust requirements for collaborative systems, including reputation systems designed for e-commerce, agent-based environments, and Peer-to-Peer computing and Grid-based systems. Second, we present a model for reputation management for Grid Virtual Organizations that is based on utility computing and that can be used to rate users according to their resource usage and resources and their providers according to the quality of service they deliver. We also demonstrate, through Grid simulations, how the model can be used in improving completion and welfare in Virtual Organizations."
849,"Adoption of dynamic energy tariffs by households is crucial for the transition to carbon-neutral energy systems. Influencing the adoption patterns of these tariffs necessitates an examination of the drivers, decision components, and contextual factors influencing household decisions. Few computational models address this comprehensively, often omitting non-financial decision variables. Moreover, methodologically robust integrative reviews on this topic are scarce. To address this gap, this paper develops a concept-centered integrative review methodology aimed at deriving computer models for socio-techno-economic simulations of household adoption of sustainable technologies. The methodology encompasses five sequential phases: Setup, Literature Search, Analysis, Synthesis and Conceptual Model, and Discussion. To illustrate the methodology, it is applied to the case of household adoption of dynamic energy tariffs, resulting in an abstract conceptual model adaptable to local contexts. The review reveals a lack of consensus on modeled tariffs but highlights the significance of tariff complexity, relative advantage, household heterogeneity, and various agent properties. It also identifies potential improvements in model fundamentals, particularly spatial modeling. The developed process model focuses on the stages ‘knowledge’, ‘decision’, and ‘reevaluation’. The article contributes by presenting a comprehensive review scheme and delivering a concept-centered integrative review along with an explicit conceptual model derived from it."
7201,"The ad hoc grid is a spontaneous organisation of cooperating heterogeneous nodes into a logical community without a fixed infrastructure and with only minimal administrative requirements. Resource management for ad hoc grids is challenging due to the participation of heterogeneous, dynamic, autonomous and ephemeral grid nodes. The paper proposes an ad hoc grid resource management system, the producers and consumers of ad hoc grid resource are modelled as the self-interested decision-makers described in microeconomic theory. All market participants in the ad hoc grid environment including grid resources and services can be represented as agents. We apply economic agents to build ad hoc grid resource management, where ad hoc grid resource consumers and providers can buy and sell ad hoc grid resource based on an underlying economic architecture. The main processes involved in ad hoc grid resource management are resource registration, discovery and resource allocation. The experiments are conducted to compare ad hoc grid resource allocation algorithm with other ad hoc grid resource allocation algorithm. Simulation results show that our proposed algorithm is more efficient than compared allocation scheme. Copyright"
